masse;taille;graines;masse_sec;espece;code
28,6;19,1;4;9,3;glycine blanche;1
20,6;14,8;3;7,7;glycine blanche;1
29,2;19,7;5;10,4;glycine blanche;1
32;21,1;7;11,5;glycine blanche;1
24,5;19,4;4;8,4;glycine blanche;1
29;19,5;4;10,3;glycine blanche;1
28,9;18,9;4;10,1;glycine blanche;1
18,2;14,6;2;6,3;glycine blanche;1
7,9;10,2;1;2,7;glycine blanche;1
15,5;14,6;2;5,5;glycine blanche;1
22,6;16,4;2;8,3;glycine blanche;1
35,5;21,1;6;13,1;glycine blanche;1
32,5;20,7;5;11,4;glycine blanche;1
28,7;18,7;5;10,5;glycine blanche;1
26;17,6;3;9,5;glycine blanche;1
13,5;13,2;2;4,7;glycine blanche;1
16,4;14;2;6;glycine blanche;1
12,5;12;3;4,3;glycine blanche;1
26,2;18,3;5;9,1;glycine blanche;1
22,6;17,8;2;8,2;glycine blanche;1
9,7;10,7;1;3,3;glycine blanche;1
21,8;16,5;3;7,2;glycine blanche;1
17,2;14,5;3;5,9;glycine blanche;1
25,2;17,5;4;9,1;glycine blanche;1
12;12,2;2;4,2;glycine blanche;1
6,3;8,6;1;2,2;glycine blanche;1
7;9,1;1;2,5;glycine blanche;1
20,4;17;4;7,1;glycine blanche;1
18;15,3;3;6,3;glycine blanche;1
21,1;15,8;4;7,3;glycine blanche;1
18,2;15,9;2;5,8;glycine blanche;1
15,2;12,2;3;5,2;glycine blanche;1
19,8;16,1;4;6,6;glycine blanche;1
21,4;16;3;7,5;glycine blanche;1
15;13,8;1;5,1;glycine blanche;1
16,4;14,4;2;5,3;glycine blanche;1
17,3;14,2;5;5,9;glycine blanche;1
16,4;15,7;2;6,1;glycine blanche;1
13,5;12,6;2;4,8;glycine blanche;1
13,6;12;3;4,5;glycine blanche;1
14,6;12,8;4;4,6;glycine blanche;1
16,9;15,3;3;5,9;glycine blanche;1
11,7;12,4;2;4,1;glycine blanche;1
14;14,5;2;5;glycine blanche;1
14,6;12,3;2;5,3;glycine blanche;1
10,3;11,8;2;3,8;glycine blanche;1
11,3;12,6;2;4;glycine blanche;1
10,7;11,3;2;3,9;glycine blanche;1
10,9;12,5;3;3,6;glycine blanche;1
20;16,1;4;7,2;glycine blanche;1
21,5;16,2;2;7,7;glycine blanche;1
12;11,3;2;4,3;glycine blanche;1
6,1;8,6;1;2,2;glycine blanche;1
5,4;8,2;1;2,1;glycine blanche;1
40;24,5;7;17,4;glycine violette;2
49,2;27;7;16,2;glycine violette;2
46;25,8;5;13,9;glycine violette;2
26,4;18,7;3;8,3;glycine violette;2
42,2;25,2;5;15,5;glycine violette;2
48,4;25,8;4;16,2;glycine violette;2
23,9;19,2;4;8;glycine violette;2
31,7;21,4;5;10,9;glycine violette;2
16,8;12;4;5,3;glycine violette;2
21,6;14;5;7,2;glycine violette;2
24,1;18,5;3;8,1;glycine violette;2
13,5;12,8;3;4,5;glycine violette;2
22,4;13,8;3;7,5;glycine violette;2
26,1;17,3;6;8,8;glycine violette;2
12,9;12,4;3;4,6;glycine violette;2
26,6;20;5;8,9;glycine violette;2
29,6;20,5;3;9,7;glycine violette;2
22,4;18,2;3;7;glycine violette;2
17,3;13,3;3;5,8;glycine violette;2
16,6;13,5;4;5,6;glycine violette;2
12,8;12;2;4,5;glycine violette;2
19,1;14,5;3;6,7;glycine violette;2
12,4;11,6;2;4,3;glycine violette;2
8,8;9,2;2;3,3;glycine violette;2
13,2;15,1;3;4,1;glycine violette;2
15,9;12,2;3;5,3;glycine violette;2
13,3;11,2;2;5;glycine violette;2
6,3;8,4;1;2,3;glycine violette;2
12,9;11,5;2;4,5;glycine violette;2
6,2;7,8;1;2,2;glycine violette;2
8,6;9,8;2;3;glycine violette;2
14,4;11,6;2;5,1;glycine violette;2
11,5;9,8;2;4;glycine violette;2
11,5;11;2;3,9;glycine violette;2
12,8;10,6;2;5;glycine violette;2
11,7;11,1;2;4,2;glycine violette;2
15,7;14;3;6,1;glycine violette;2
12;11,4;2;4,3;glycine violette;2
13,4;11,1;2;4,2;glycine violette;2
11,3;10,7;2;3,7;glycine violette;2
6,6;7,9;1;2,5;glycine violette;2
17,8;13,7;4;6,3;glycine violette;2
9,6;10;2;3,2;glycine violette;2
14,3;12,8;3;5,3;glycine violette;2
14;12,2;2;5,2;glycine violette;2
11,3;11,4;3;4,2;glycine violette;2
10,2;10,2;3;3,8;glycine violette;2
12,2;10,8;3;4,7;glycine violette;2
15,9;13;4;5,5;glycine violette;2
11,7;10,3;2;4,5;glycine violette;2
12,4;11;2;4,1;glycine violette;2
11,5;11,4;2;4,5;glycine violette;2
10,6;10,5;2;4;glycine violette;2
9,4;9,2;2;3,3;glycine violette;2
9,2;9,9;2;3,5;glycine violette;2
6,1;8,4;1;2,5;glycine violette;2
10,9;12,8;NA;3;bignone;3
6,6;10,5;NA;1,1;bignone;3
22,5;18;NA;3,4;bignone;3
33,7;21,5;NA;6,6;bignone;3
20,6;17,8;NA;3,5;bignone;3
16,6;16,3;NA;4,3;bignone;3
14,2;17,4;NA;2,1;bignone;3
13,8;15,7;NA;2,1;bignone;3
14;17,3;NA;2,4;bignone;3
8,7;13,4;NA;2,2;bignone;3
14,2;13,9;NA;3,2;bignone;3
10,6;14,6;NA;1,7;bignone;3
10,9;14,2;NA;1,6;bignone;3
3,3;8,9;NA;0,5;bignone;3
9,7;13;NA;1,5;bignone;3
9,3;12,2;NA;1,9;bignone;3
17,2;16,5;NA;2,4;bignone;3
10,1;14,7;NA;2,3;bignone;3
9;13,4;NA;2,9;bignone;3
7,1;11,6;NA;1,5;bignone;3
7,1;12,9;NA;1,6;bignone;3
1,5;6,5;NA;0,2;bignone;3
4,1;9,5;NA;1,4;bignone;3
8;11,8;NA;2,2;bignone;3
7,4;13,6;NA;1,9;bignone;3
7,2;12,9;NA;1,1;bignone;3
6,9;11,6;NA;1,3;bignone;3
2,9;9,4;NA;0,8;bignone;3
2,4;9,5;NA;1,1;bignone;3
10,7;14;NA;2,3;bignone;3
13,8;13,5;NA;3,5;bignone;3
10,9;12,1;NA;1,7;bignone;3
10,3;11,6;NA;2;bignone;3
8,8;13,4;NA;1,7;bignone;3
9;10,9;NA;2,5;bignone;3
8,2;12,2;NA;1,7;bignone;3
9,6;13,4;NA;1,2;bignone;3
9;12,5;NA;1,7;bignone;3
5,3;10,5;NA;0,9;bignone;3
1,5;7;NA;0,7;bignone;3
6,7;13,2;NA;1,1;bignone;3
2,9;9,3;NA;0,6;bignone;3
2,9;7,9;NA;1;bignone;3
3,5;10,3;NA;1,2;bignone;3
3,4;7,5;NA;1,1;bignone;3
4,9;8,5;NA;1,5;bignone;3
4,7;10,1;NA;1,2;bignone;3
4,7;8,3;NA;1,3;bignone;3
5,2;10,8;NA;0,9;bignone;3
2,1;8,3;NA;0,5;bignone;3
2,2;7,1;NA;0,5;bignone;3
1,4;6,4;NA;0,6;bignone;3
2,7;6,5;NA;0,4;bignone;3
1;4,8;NA;0,4;bignone;3
2,5;7,4;NA;0,8;bignone;3
5,5;9,3;NA;0,9;bignone;3
2,7;8,6;NA;0,9;bignone;3
6,7;9,9;NA;2;bignone;3
7,3;13,9;NA;1,1;bignone;3
2,9;8,7;NA;1,3;bignone;3
3,8;9,3;NA;1;bignone;3
7,6;13,7;NA;2,6;bignone;3
3,6;8,3;NA;1,5;bignone;3
3;8,1;NA;1;bignone;3
5,8;11,2;NA;2;bignone;3
5,3;12;NA;1,1;bignone;3
3,2;11,3;NA;1,5;bignone;3
4,4;6,7;NA;1,5;bignone;3
3,4;10,6;NA;1,4;bignone;3
2,9;8,9;NA;0,9;bignone;3
4,9;15,3;NA;1,2;laurier rose;4
6,2;15,9;NA;1,1;laurier rose;4
4;15;NA;0,7;laurier rose;4
3,3;11;NA;NA;laurier rose;4
4,8;15,1;NA;0,8;laurier rose;4
5,6;15,6;NA;1;laurier rose;4
4,5;15,3;NA;0,7;laurier rose;4
6,3;18,4;NA;1,6;laurier rose;4
4,2;14;NA;0,8;laurier rose;4
3,9;12,6;NA;1,1;laurier rose;4
5,8;16,8;NA;0,9;laurier rose;4
4,7;13,6;NA;1;laurier rose;4
6;15,1;NA;1,5;laurier rose;4
6,5;16,7;NA;1,7;laurier rose;4
5;15,3;NA;1;laurier rose;4
5,5;17,1;NA;1,3;laurier rose;4
4,7;14,6;NA;1;laurier rose;4
5,7;15;NA;1,5;laurier rose;4
3,6;10,4;NA;1,1;laurier rose;4
5,4;16,5;NA;1,3;laurier rose;4
5,3;16,6;NA;1,1;laurier rose;4
5;15,9;NA;1;laurier rose;4
4,5;14,4;NA;1;laurier rose;4
4,4;16,2;NA;1,1;laurier rose;4
4,8;15,2;NA;0,8;laurier rose;4
4,5;15,8;NA;0,8;laurier rose;4
3,2;11;NA;0,6;laurier rose;4
4,7;14,1;NA;0,8;laurier rose;4
4;13,7;NA;0,8;laurier rose;4
5,8;15,4;NA;1,5;laurier rose;4
5,5;15,3;NA;1,3;laurier rose;4
4,4;13,5;NA;0,7;laurier rose;4
3,5;12;NA;1,1;laurier rose;4
4,4;14,7;NA;0,9;laurier rose;4
4,3;15,5;NA;1,2;laurier rose;4
4,1;12,9;NA;1,5;laurier rose;4
5,3;15;NA;1,6;laurier rose;4
4,7;15,8;NA;0,9;laurier rose;4
5,3;13,8;NA;NA;laurier rose;4
4,7;12,8;NA;1,2;laurier rose;4
4,9;16;NA;1,6;laurier rose;4
4,1;12;NA;0,6;laurier rose;4
4,6;14,3;NA;0,7;laurier rose;4
4,8;14,5;NA;0,9;laurier rose;4
3,4;11,4;NA;1,1;laurier rose;4
3,4;13,3;NA;0,6;laurier rose;4
5,8;15,5;NA;1,1;laurier rose;4
4,8;15,1;NA;1;laurier rose;4
3,9;12,8;NA;0,8;laurier rose;4
3,4;12,7;NA;0,8;laurier rose;4
4,5;15,7;NA;0,9;laurier rose;4
3,3;13,2;NA;0,5;laurier rose;4
3,3;13,4;NA;0,5;laurier rose;4
3,6;13,8;NA;0,6;laurier rose;4
3,5;11,2;NA;0,6;laurier rose;4
3,8;11,4;NA;1,1;laurier rose;4
3,2;11,1;NA;1;laurier rose;4
3,8;14,4;NA;0,7;laurier rose;4
5,3;13,4;NA;1,6;laurier rose;4
5,8;14,7;NA;1,7;laurier rose;4
4,6;14,9;NA;0,9;laurier rose;4
3,2;10,5;NA;1,1;laurier rose;4
4,3;14,6;NA;0,8;laurier rose;4
2,7;11,3;NA;0,5;laurier rose;4
2,6;9,1;NA;0,4;laurier rose;4
2,4;9;NA;NA;laurier rose;4
2,6;9,4;NA;0,9;laurier rose;4
3,2;12,1;NA;0,6;laurier rose;4
6,4;16,1;NA;1,8;laurier rose;4
3,4;13,2;NA;1,2;laurier rose;4
3,4;11,4;NA;1,2;laurier rose;4
2,7;11,5;NA;0,7;laurier rose;4
